Date,Investigator,CH,[Tubulin] $(\mu M)$,[DCX] $(n M)$,Length $(\mu m)$,Lifetime $(min)$,Growth Rate $(\mu m / min)$,Time to Nucleate $(min)$,Shrink Length $(\mu m)$,Shrink Lifetime $(min)$,Shrink Rate $(\mu m / min)$,Rescues,DCX Type
2020-07-08,Sofia,21,10.0,0.0,3.21,3.7725,0.8508946322067593,0.5553958333333334,3.21,0.2515,12.763419483101393,False,None
2020-07-08,Sofia,21,10.0,0.0,9.309,10.479166666666666,0.8883339960238569,3.321895833333333,9.523,0.503,18.932405566600398,False,None
2020-07-08,Sofia,21,10.0,0.0,14.552,12.742666666666667,1.1419901642774928,2.9865625,14.765999999999998,0.8383333333333334,17.61351888667992,False,None
2020-07-08,Sofia,21,10.0,0.0,15.835999999999999,14.503166666666667,1.0918994702306393,0.7230624999999999,16.157,0.8383333333333334,19.272763419483105,False,None
2020-07-08,Sofia,21,10.0,0.0,5.671,4.4431666666666665,1.2763419483101393,1.1422291666666666,5.671,0.16766666666666669,33.82306163021869,False,None
2020-07-08,Sofia,21,10.0,0.0,17.869,14.670833333333333,1.2179948878159614,14.304062500000002,18.083,1.1736666666666666,15.40727066174382,False,None
2020-07-08,Sofia,21,10.0,0.0,5.671,5.616833333333332,1.0096436307527967,9.190229166666667,5.564,0.16766666666666669,33.18489065606361,False,None
2020-07-08,Sofia,21,10.0,0.0,1.819,1.509,1.2054340622929092,2.399729166666667,2.033,0.08383333333333334,24.25049701789264,False,None
2020-07-08,Sofia,21,10.0,0.0,5.35,4.359333333333334,1.2272518733751336,1.4775625,5.136,0.08383333333333334,61.264413518886684,False,None
2020-07-08,Sofia,21,10.0,0.0,4.815,4.2755,1.1261840720383578,1.8967291666666668,5.029,,,False,None
2020-07-08,Sofia,21,10.0,0.0,3.531,4.024,0.8774850894632207,11.705229166666667,3.638,0.16766666666666669,21.697813121272358,False,None
2020-07-08,Sofia,21,10.0,0.0,0.856,0.7545000000000001,1.134526176275679,1.1422291666666666,0.856,,,False,None
2020-07-08,Sofia,21,10.0,0.0,11.021,12.575,0.8764214711729622,18.5795625,11.77,0.5868333333333333,20.056802044873614,True,None
2020-07-08,Sofia,21,10.0,0.0,3.745,3.1856666666666666,1.1755781102856544,0.8907291666666667,3.638,0.08383333333333334,43.395626242544715,False,None
2020-07-08,Sofia,21,10.0,0.0,9.844,10.898333333333332,0.9032573788040984,0.6392291666666667,9.951,0.4191666666666667,23.739960238568592,False,None
2020-07-08,Sofia,21,10.0,0.0,26.964000000000002,25.82066666666667,1.0442797758901137,0.8907291666666667,27.071,1.3413333333333337,20.18215705765407,False,None
2020-07-08,Sofia,21,10.0,0.0,1.284,1.8443333333333336,0.6961865172600759,13.465729166666668,1.4980000000000002,0.08383333333333334,17.868787276341948,False,None
2020-07-08,Sofia,21,10.0,0.0,3.21,2.5988333333333333,1.2351696273969088,14.220229166666664,3.317,0.16766666666666669,19.783300198807154,False,None
2020-07-08,Sofia,21,10.0,0.0,7.276,6.455166666666668,1.12715912318298,2.399729166666667,7.169,0.16766666666666669,42.757455268389656,False,None
2020-07-08,Sofia,21,10.0,0.0,4.601,4.024,1.143389662027833,4.327895833333334,4.815,0.08383333333333334,57.43538767395625,False,None
2020-07-08,Sofia,21,10.0,0.0,0.963,1.1736666666666666,0.8205055381993752,2.2320625,0.963,,,False,None
2020-07-08,Sofia,21,10.0,0.0,9.309,8.634833333333335,1.0780752378930298,6.172229166666668,9.309,0.4191666666666667,22.208349900596414,False,None
2020-07-08,Sofia,21,10.0,0.0,1.07,1.4251666666666667,0.7507893813589054,2.651229166666667,1.07,,,False,None
2020-07-08,Sofia,21,10.0,0.0,9.523,10.395333333333333,0.916084140319374,13.130395833333333,9.523,0.2515,37.864811133200796,False,None
2020-07-08,Sofia,21,10.0,0.0,9.844,8.551,1.1512103847503214,0.6392291666666667,9.951,0.8383333333333334,11.869980119284296,False,None
2020-07-08,Sofia,21,10.0,0.0,2.782,2.515,1.1061630218687872,0.8068958333333334,2.782,0.16766666666666669,16.592445328031808,False,None
2020-07-08,Sofia,21,10.0,0.0,2.568,2.012,1.2763419483101393,1.3098958333333333,2.675,0.16766666666666669,15.95427435387674,False,None
2020-07-08,Sofia,21,10.0,0.0,11.877,9.892333333333337,1.200626747986656,0.7230624999999999,12.198,0.503,24.25049701789265,False,None
2020-07-08,Sofia,21,10.0,0.0,7.917999999999999,6.5390000000000015,1.2108885150634652,1.1422291666666666,7.811,0.4191666666666667,18.634592445328032,False,None
2020-07-08,Sofia,21,10.0,0.0,2.675,2.8503333333333334,0.9384867266986316,1.0583958333333334,2.675,0.08383333333333334,31.90854870775348,False,None
2020-07-08,Sofia,21,10.0,0.0,2.14,1.6766666666666667,1.2763419483101393,1.393729166666667,2.14,0.16766666666666669,12.763419483101393,False,None
2020-07-08,Sofia,21,10.0,0.0,1.712,1.4251666666666667,1.2012630101742483,0.7230624999999999,1.819,0.16766666666666669,10.848906560636179,False,None
2020-07-08,Sofia,21,10.0,0.0,2.782,3.353333333333333,0.8296222664015904,2.3158958333333337,2.675,0.08383333333333334,31.90854870775348,False,None
2020-07-08,Sofia,21,10.0,0.0,6.206,4.610833333333334,1.3459606000361466,1.1422291666666666,6.206,0.2515,24.675944333996018,False,None
2020-07-08,Sofia,21,10.0,0.0,3.317,2.8503333333333334,1.1637235411063032,3.4057291666666667,3.317,0.16766666666666669,19.783300198807154,False,None
2020-07-08,Sofia,21,10.0,0.0,9.202,6.706666666666668,1.3720675944333995,0.8907291666666667,9.202,0.503,18.294234592445328,False,None
2020-07-08,Sofia,21,10.0,0.0,9.951,8.886333333333337,1.1198094452154994,0.8907291666666667,10.485999999999999,0.503,20.846918489065608,True,None
2020-07-08,Sofia,21,10.0,0.0,6.527,6.7905,0.9611957882335616,2.5673958333333338,6.848,0.33533333333333337,20.421471172962228,False,None
2020-07-08,Sofia,21,10.0,0.0,5.992000000000001,5.113833333333334,1.1717237558257014,0.8907291666666667,5.778,0.2515,22.974155069582505,False,None
2020-07-08,Sofia,21,10.0,0.0,4.815,4.191666666666666,1.1487077534791252,1.1422291666666666,4.815,0.2515,19.145129224652084,False,None
2020-07-08,Sofia,21,10.0,0.0,0.856,1.1736666666666666,0.7293382561772224,10.196229166666667,1.177,,,False,None
2020-07-08,Sofia,21,10.0,0.0,4.387,4.6946666666666665,0.934464640727066,4.160229166666666,4.494,0.16766666666666669,26.80318091451292,False,None
2020-07-08,Sofia,21,10.0,0.0,6.206,5.7845,1.0728671449563492,0.7230624999999999,6.206,0.33533333333333337,18.50695825049701,False,None
2020-07-08,Sofia,21,10.0,0.0,5.671,5.7845,0.9803785979773534,1.561395833333333,5.992000000000001,0.4191666666666667,14.295029821073554,False,None
2020-07-08,Sofia,21,10.0,0.0,16.692,14.587,1.144306574347021,0.4715625000000001,17.012999999999998,1.1736666666666666,14.495597841522295,False,None
2020-07-08,Sofia,21,10.0,0.0,12.732999999999999,11.233666666666664,1.1334678496187058,0.7230624999999999,12.947000000000001,0.6706666666666667,19.304671968190853,False,None
2020-07-08,Sofia,21,10.0,0.0,8.025,5.952166666666668,1.34824853694733,0.6392291666666667,8.025,0.4191666666666667,19.145129224652084,False,None
2020-07-08,Sofia,21,10.0,0.0,8.988,8.8025,1.0210735586481112,1.0583958333333334,8.881,0.33533333333333337,26.48409542743539,False,None
2020-07-08,Sofia,21,10.0,0.0,26.643,20.790666666666667,1.281488488424293,0.9745625,26.964000000000002,1.2575,21.442544731610337,False,None
2020-07-08,Sofia,21,10.0,0.0,7.811,9.8085,0.7963501045011979,0.5553958333333334,7.917999999999999,0.4191666666666667,18.889860834990056,False,None
2020-07-08,Sofia,21,10.0,0.0,4.815,5.7845,0.8323969228109603,1.0583958333333334,4.922,0.16766666666666669,29.355864811133195,False,None
2020-07-08,Sofia,21,10.0,0.0,16.799,18.44333333333333,0.9108440267485992,0.5553958333333334,16.799,1.006,16.698807157057654,False,None
2020-07-08,Sofia,21,10.0,0.0,9.416,7.628833333333334,1.2342647412229917,1.0583958333333334,9.737,0.5868333333333333,16.59244532803181,False,None
2020-07-08,Sofia,21,10.0,0.0,9.737,10.395333333333333,0.9366703007759892,1.9805625,10.058,0.503,19.996023856858848,False,None
2020-07-08,Sofia,21,10.0,0.0,13.589,15.425333333333334,0.880953409974933,4.327895833333334,13.91,0.33533333333333337,41.48111332007952,False,None
2020-07-08,Sofia,21,10.0,0.0,7.276,9.892333333333337,0.7355190888566903,1.1422291666666666,7.382999999999999,0.8383333333333334,8.80675944333996,False,None
2020-07-08,Sofia,21,10.0,0.0,3.21,2.515,1.2763419483101393,1.0583958333333334,3.638,0.16766666666666669,21.697813121272358,False,None
2020-07-08,Sofia,21,10.0,0.0,5.35,4.946166666666668,1.081645718906897,0.9745625,5.671,0.2515,22.548707753479125,False,None
2020-07-08,Sofia,21,10.0,0.0,8.025,7.042000000000002,1.13959102527691,0.7230624999999999,8.238999999999999,0.4191666666666667,19.65566600397614,False,None
2020-07-08,Sofia,21,10.0,0.0,15.300999999999998,13.748666666666667,1.1129079183435968,0.8907291666666667,15.515,0.6706666666666667,23.13369781312127,False,None
